Payload_size,Data_Model,Nodes,Average_Throughput
1472,1,3,5.85367
1472,1,4,3.90299
1472,1,5,2.92751
1472,1,6,2.34213
1472,1,7,1.95183
1472,1,8,1.67304
1472,1,9,1.48692
1472,1,10,1.3381
1472,1,11,1.21638
1472,1,12,1.11481
1472,1,13,1.02906
1472,1,14,0.955517
1472,1,15,0.89182
1472,1,16,0.835787
1472,1,17,0.786764
1472,1,18,0.742718
1472,1,19,0.703744
1472,1,20,0.668608
1472,1,21,0.636705
1472,1,22,0.607572
1472,1,23,0.581052
1472,1,24,0.556819
1472,1,25,0.534489
1472,2,2,11.7064
1472,2,3,5.85503
1472,2,4,3.90398
1472,2,5,2.92815
1472,2,6,2.3426
1472,2,7,1.9522
1472,2,8,1.67318
1472,2,9,1.48731
1472,2,10,1.33843
1472,2,11,1.21672
1472,2,12,1.11507
1472,2,13,1.0295
1472,2,14,0.955669
1472,2,15,0.891995
1472,2,16,0.836263
1472,2,17,0.787104
1472,2,18,0.743126
1472,2,19,0.704149
1472,2,20,0.668868
1472,2,21,0.636897
1472,2,22,0.60791
1472,2,23,0.581297
1472,2,24,0.557092
1472,2,25,0.534997
1472,3,2,11.7089
1472,3,3,5.85615
1472,3,4,3.90442
1472,3,5,2.9284
1472,3,6,2.34283
1472,3,7,1.9524
1472,3,8,1.67351
1472,3,9,1.4875
1472,3,10,1.33862
1472,3,11,1.21679
1472,3,12,1.11535
1472,3,13,1.02958
1472,3,14,0.955956
1472,3,15,0.89225
1472,3,16,0.836367
1472,3,17,0.787174
1472,3,18,0.743273
1472,3,19,0.704036
1472,3,20,0.668915
1472,3,21,0.63714
1472,3,22,0.60808
1472,3,23,0.58156
1472,3,24,0.534111
1472,3,25,0.492247
1472,4,2,11.7117
1472,4,3,5.85681
1472,4,4,3.90482
1472,4,5,2.92877
1472,4,6,2.34287
1472,4,7,1.95229
1472,4,8,1.67366
1472,4,9,1.48761
1472,4,10,1.33884
1472,4,11,1.21704
1472,4,12,1.11564
1472,4,13,1.02977
1472,4,14,0.956136
1472,4,15,0.892413
1472,4,16,0.836542
1472,4,17,0.787221
1472,4,18,0.743465
1472,4,19,0.699646
1472,4,20,0.618893
1472,4,21,0.567404
1472,4,22,0.517785
1472,4,23,0.468624
1472,4,24,0.438427
1472,4,25,0.40023
1472,5,2,11.7132
1472,5,3,5.85592
1472,5,4,3.90508
1472,5,5,2.92877
1472,5,6,2.34277
1472,5,7,1.95267
1472,5,8,1.53767
1472,5,9,1.3513
1472,5,10,1.20497
1472,5,11,14.3031
1472,5,12,0.929691
1472,5,13,0.898852
1472,5,14,0.759749
