Payload_size,Data_Model,Nodes,Average_Delay
1472,1,9,5949.45
1472,1,10,6535.2
1472,1,11,6814.45
1472,1,12,7863.89
1472,1,13,8264.29
1472,1,14,10071.1
1472,1,15,9551.52
1472,1,16,11312.8
1472,1,17,11060
1472,1,18,12008.6
1472,1,19,12601.4
1472,1,20,12462.1
1472,1,21,13559
1472,1,22,13779.2
1472,1,23,15122.4
1472,1,24,15610.6
1472,1,25,15768.8
1472,2,2,3595.33
1472,2,3,2708.61
1472,2,4,2937.3
1472,2,5,3789.34
1472,2,6,3607.46
1472,2,7,3369.22
1472,2,8,3742.72
1472,2,9,4212.49
1472,2,10,4693.74
1472,2,11,5111.77
1472,2,12,5790.94
1472,2,13,6045.36
1472,2,14,7150.35
1472,2,15,7191.62
1472,2,16,7831.16
1472,2,17,7990.32
1472,2,18,8935.05
1472,2,19,9963.68
1472,2,20,10158.9
1472,2,21,10504.2
1472,2,22,10691.3
1472,2,23,11218.1
1472,2,24,11699.9
1472,2,25,11874.6
1472,3,2,2933.38
1472,3,3,2742.12
1472,3,4,2487.73
1472,3,5,2650.54
1472,3,6,2660.54
1472,3,7,2984.08
1472,3,8,3336.59
1472,3,9,3577.57
1472,3,10,3914.18
1472,3,11,4405.16
1472,3,12,4945.09
1472,3,13,4810.89
1472,3,14,5618.11
1472,3,15,5491.29
1472,3,16,6570.21
1472,3,17,6607.57
1472,3,18,7356.55
1472,3,19,7766.01
1472,3,20,8094.22
1472,3,21,8227.25
1472,3,22,9079.9
1472,3,23,9805.24
1472,3,24,51172.2
1472,3,25,89812.6
1472,4,2,3234.93
1472,4,3,2400.68
1472,4,4,2311.09
1472,4,5,2164.97
1472,4,6,2758.45
1472,4,7,2793.82
1472,4,8,2397.83
1472,4,9,2771.94
1472,4,10,3053.7
1472,4,11,3295.41
1472,4,12,3844.7
1472,4,13,3831.14
1472,4,14,4170.09
1472,4,15,5004.4
1472,4,16,5108.28
1472,4,17,5622.03
1472,4,18,5970.88
1472,4,19,6418.93
1472,4,20,56563.6
1472,4,21,101918
1472,4,22,142945
1472,4,23,180501
1472,4,24,214790
1472,4,25,246237
1472,5,2,4096.33
1472,5,3,2556.61
1472,5,4,2133.26
1472,5,5,1998.3
1472,5,6,2520.61
1472,5,7,2184.31
1472,5,8,2651.42
1472,5,9,3161.24
1472,5,10,102973
1472,5,11,3512.38
1472,5,12,169466
1472,5,13,80886.4
1472,5,14,146700
1472,5,15,270566
1472,5,16,191512
1472,5,17,240735
1472,5,18,337000
1472,5,19,372609
1472,5,20,404600
1472,5,21,433100
1472,5,22,414872
1472,5,23,482765
1472,5,24,463964
1472,5,25,563666
